lot_id,region,washing_station,coop_name,process,screen_size,cupping_score,q_grader_name,grading_date,defect_count_sca,moisture_pct,water_activity,crop_year,harvest_date_range,milling_date,stock_bags_remaining,bag_size_kg,certifications,certificate_of_origin,eudr_data_status,eudr_gps_lat,eudr_gps_lon,eudr_farmgate_price_etb_per_kg,eudr_deforestation_attestation,reserved_for_forward_program,status,last_updated_ts
LOT-25-0001,Yirgacheffe,Konga Washing Station,Yirgacheffe Union,Washed,14,87.5,Amanuel Tesfaye,2026-03-15,8,11.2,0.45,25/26,Nov 2025 – Jan 2026,2026-02-20,45,60,organic,ECTA-2026-0142,complete,6.1627,38.1964,28.5,signed,No,active,2026-07-01T08:32:06+03:00
LOT-25-0002,Yirgacheffe,Idido Washing Station,Yirgacheffe Union,Natural,14,88.2,Amanuel Tesfaye,2026-03-16,6,10.8,0.42,25/26,Nov 2025 – Jan 2026,2026-02-22,30,60,,ECTA-2026-0143,complete,6.175,38.21,29.0,signed,No,active,2026-07-01T08:32:06+03:00
LOT-25-0003,Guji,Hambela Washing Station,Hambela Co-op,Washed,15,86.8,Sara Bekele,2026-03-18,10,11.5,0.48,25/26,Nov 2025 – Jan 2026,2026-02-25,60,60,organic;FT,ECTA-2026-0144,complete,5.9847,38.2856,27.5,signed,No,active,2026-07-01T08:32:59+03:00
LOT-25-0004,Guji,Uraga Washing Station,Uraga Co-op,Natural,14,88.0,Sara Bekele,2026-03-19,5,10.5,0.4,25/26,Nov 2025 – Feb 2026,2026-02-28,25,60,,ECTA-2026-0145,partial,5.95,38.3,0,,No,active,2026-07-01T08:32:06+03:00
LOT-25-0005,Guji,Shakiso Washing Station,Shakiso Co-op,Washed,14,85.5,Sara Bekele,2026-03-20,12,11.0,0.44,25/26,Nov 2025 – Jan 2026,2026-03-01,50,60,,ECTA-2026-0146,complete,5.92,38.25,26.8,signed,No,active,2026-07-01T08:32:06+03:00
LOT-25-0006,Sidamo,Bensa Washing Station,Bensa Co-op,Washed,14,84.5,Dawit Haile,2026-03-22,14,11.3,0.46,25/26,Nov 2025 – Jan 2026,2026-03-02,80,60,,ECTA-2026-0147,complete,6.35,38.45,24.0,signed,No,active,2026-07-01T08:32:06+03:00
LOT-25-0007,Sidamo,Bensa Washing Station,Bensa Co-op,Natural,14,85.0,Dawit Haile,2026-03-23,9,10.9,0.43,25/26,Nov 2025 – Jan 2026,2026-03-03,70,60,FT,ECTA-2026-0148,complete,6.351,38.451,25.0,signed,No,active,2026-07-01T08:32:06+03:00
LOT-25-0008,Limu,Limu Kosa Washing Station,Limu Inara Co-op,Washed,15,83.0,Marta Tadesse,2026-03-25,15,11.4,0.47,25/26,Nov 2025 – Jan 2026,2026-03-05,100,60,,ECTA-2026-0149,missing,0,0,0,,No,active,2026-07-01T08:32:06+03:00
LOT-25-0009,Jimma,Babo Washing Station,Babo Co-op,Natural,13,82.5,Marta Tadesse,2026-03-26,18,11.6,0.5,25/26,Nov 2025 – Jan 2026,2026-03-06,40,60,organic,ECTA-2026-0150,complete,7.675,36.833,22.0,signed,No,active,2026-07-01T08:32:06+03:00
LOT-25-0010,Yirgacheffe,Konga Washing Station,Yirgacheffe Union,Washed,14,87.0,Amanuel Tesfaye,2026-03-15,7,11.1,0.44,25/26,Nov 2025 – Jan 2026,2026-02-20,15,60,organic,ECTA-2026-0142,complete,6.1627,38.1964,28.5,signed,Yes,active,2026-07-01T08:32:06+03:00
LOT-25-0011,Harrar,Harrar Longberry Station,Harrar Co-op,Natural,13,84.0,Dawit Haile,2026-03-28,12,11.0,0.43,25/26,Nov 2025 - Jan 2026,2026-03-10,35,60,,ECTA-2026-0151,complete,9.3107,42.14,23.5,signed,No,active,2026-07-01T08:33:48+03:00
